index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
3646,1,5,0.661,gem,1695714234.9125466,gem,True,0,1000,256,0.757
3647,1,6,0.683,gem,1695714234.9125466,gem,True,0,1000,256,0.758
3648,1,7,0.658,gem,1695714234.9125466,gem,True,0,1000,256,0.742
3649,1,8,0.671,gem,1695714234.9125466,gem,True,0,1000,256,0.734
3650,1,9,0.642,gem,1695714234.9125466,gem,True,0,1000,256,0.74
3651,1,10,0.674,gem,1695714234.9125466,gem,True,0,1000,256,0.741
3652,2,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.584
3653,2,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.628
3654,2,2,0.805,gem,1695714234.9125466,gem,True,0,1000,256,0.807
3655,2,3,0.701,gem,1695714234.9125466,gem,True,0,1000,256,0.749
3656,2,4,0.685,gem,1695714234.9125466,gem,True,0,1000,256,0.739
3657,2,5,0.66,gem,1695714234.9125466,gem,True,0,1000,256,0.719
3658,2,6,0.651,gem,1695714234.9125466,gem,True,0,1000,256,0.719
3659,2,7,0.681,gem,1695714234.9125466,gem,True,0,1000,256,0.719
3660,2,8,0.624,gem,1695714234.9125466,gem,True,0,1000,256,0.717
3661,2,9,0.6,gem,1695714234.9125466,gem,True,0,1000,256,0.703
3662,2,10,0.611,gem,1695714234.9125466,gem,True,0,1000,256,0.718
3663,3,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.607
3664,3,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.65
3665,3,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.66
3666,3,3,0.841,gem,1695714234.9125466,gem,True,0,1000,256,0.841
3667,3,4,0.761,gem,1695714234.9125466,gem,True,0,1000,256,0.779
3668,3,5,0.689,gem,1695714234.9125466,gem,True,0,1000,256,0.783
3669,3,6,0.698,gem,1695714234.9125466,gem,True,0,1000,256,0.788
3670,3,7,0.675,gem,1695714234.9125466,gem,True,0,1000,256,0.763
3671,3,8,0.7,gem,1695714234.9125466,gem,True,0,1000,256,0.767
3672,3,9,0.645,gem,1695714234.9125466,gem,True,0,1000,256,0.778
3673,3,10,0.617,gem,1695714234.9125466,gem,True,0,1000,256,0.75
3674,4,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.555
3675,4,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.596
3676,4,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.647
3677,4,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.66
3678,4,4,0.821,gem,1695714234.9125466,gem,True,0,1000,256,0.83
3679,4,5,0.716,gem,1695714234.9125466,gem,True,0,1000,256,0.762
3680,4,6,0.695,gem,1695714234.9125466,gem,True,0,1000,256,0.746
3681,4,7,0.702,gem,1695714234.9125466,gem,True,0,1000,256,0.731
3682,4,8,0.68,gem,1695714234.9125466,gem,True,0,1000,256,0.738
3683,4,9,0.648,gem,1695714234.9125466,gem,True,0,1000,256,0.727
3684,4,10,0.651,gem,1695714234.9125466,gem,True,0,1000,256,0.716
3685,5,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.635
3686,5,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.689
3687,5,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.72
3688,5,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.713
3689,5,4,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.713
3690,5,5,0.844,gem,1695714234.9125466,gem,True,0,1000,256,0.844
3691,5,6,0.771,gem,1695714234.9125466,gem,True,0,1000,256,0.807
3692,5,7,0.737,gem,1695714234.9125466,gem,True,0,1000,256,0.788
3693,5,8,0.709,gem,1695714234.9125466,gem,True,0,1000,256,0.793
3694,5,9,0.71,gem,1695714234.9125466,gem,True,0,1000,256,0.793
3695,5,10,0.716,gem,1695714234.9125466,gem,True,0,1000,256,0.784
3696,6,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.566
3697,6,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.675
3698,6,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.692
3699,6,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.715
3700,6,4,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.686
3701,6,5,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.709
3702,6,6,0.875,gem,1695714234.9125466,gem,True,0,1000,256,0.871
3703,6,7,0.786,gem,1695714234.9125466,gem,True,0,1000,256,0.833
3704,6,8,0.745,gem,1695714234.9125466,gem,True,0,1000,256,0.805
3705,6,9,0.734,gem,1695714234.9125466,gem,True,0,1000,256,0.81
3706,6,10,0.729,gem,1695714234.9125466,gem,True,0,1000,256,0.806
3707,7,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.536
3708,7,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.595
3709,7,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.64
3710,7,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.648
3711,7,4,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.649
3712,7,5,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.639
3713,7,6,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.649
3714,7,7,0.803,gem,1695714234.9125466,gem,True,0,1000,256,0.812
3715,7,8,0.706,gem,1695714234.9125466,gem,True,0,1000,256,0.769
3716,7,9,0.694,gem,1695714234.9125466,gem,True,0,1000,256,0.737
3717,7,10,0.682,gem,1695714234.9125466,gem,True,0,1000,256,0.733
3718,8,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.683
3719,8,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.767
3720,8,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.777
3721,8,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.782
3722,8,4,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.788
3723,8,5,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.792
3724,8,6,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.815
3725,8,7,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.79
3726,8,8,0.885,gem,1695714234.9125466,gem,True,0,1000,256,0.891
3727,8,9,0.845,gem,1695714234.9125466,gem,True,0,1000,256,0.854
3728,8,10,0.808,gem,1695714234.9125466,gem,True,0,1000,256,0.843
3729,9,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.525
3730,9,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.594
3731,9,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.62
3732,9,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.623
3733,9,4,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.634
3734,9,5,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.648
3735,9,6,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.684
3736,9,7,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.666
3737,9,8,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.652
3738,9,9,0.818,gem,1695714234.9125466,gem,True,0,1000,256,0.82
3739,9,10,0.729,gem,1695714234.9125466,gem,True,0,1000,256,0.778
3740,10,0,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.606
3741,10,1,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.642
3742,10,2,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.719
3743,10,3,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.688
3744,10,4,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.695
3745,10,5,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.7
3746,10,6,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.722
3747,10,7,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.726
3748,10,8,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.738
3749,10,9,0.1,gem,1695714234.9125466,gem,True,0,1000,256,0.737
3750,10,10,0.843,gem,1695714234.9125466,gem,True,0,1000,256,0.837
3751,0,0,0.827,gem,1695714234.9193308,gem,True,0,1000,128,0.825
3752,0,1,0.6596,gem,1695714234.9193308,gem,True,0,1000,128,0.7222
3753,0,2,0.5687,gem,1695714234.9193308,gem,True,0,1000,128,0.6411
3754,0,3,0.5738,gem,1695714234.9193308,gem,True,0,1000,128,0.6365
3755,0,4,0.5014,gem,1695714234.9193308,gem,True,0,1000,128,0.6117
3756,0,5,0.4794,gem,1695714234.9193308,gem,True,0,1000,128,0.6043
3757,0,6,0.4761,gem,1695714234.9193308,gem,True,0,1000,128,0.6109
3758,0,7,0.4796,gem,1695714234.9193308,gem,True,0,1000,128,0.6123
3759,0,8,0.5057,gem,1695714234.9193308,gem,True,0,1000,128,0.6162
3760,0,9,0.4763,gem,1695714234.9193308,gem,True,0,1000,128,0.6018
3761,0,10,0.4596,gem,1695714234.9193308,gem,True,0,1000,128,0.5877
3762,1,0,0.1,gem,1695714234.9193308,gem,True,0,1000,128,0.561
3763,1,1,0.853,gem,1695714234.9193308,gem,True,0,1000,128,0.847
3764,1,2,0.736,gem,1695714234.9193308,gem,True,0,1000,128,0.751
3765,1,3,0.639,gem,1695714234.9193308,gem,True,0,1000,128,0.699
3766,1,4,0.572,gem,1695714234.9193308,gem,True,0,1000,128,0.663
3767,1,5,0.575,gem,1695714234.9193308,gem,True,0,1000,128,0.681
