index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,ridge_result
89,2,4,0.509,ewc,1700438599.719576,replay,True,7500,0.5535
90,3,0,0.025,ewc,1700438599.719576,replay,True,7500,0.4205
91,3,1,0.025,ewc,1700438599.719576,replay,True,7500,0.4495
92,3,2,0.025,ewc,1700438599.719576,replay,True,7500,0.461
93,3,3,0.571,ewc,1700438599.719576,replay,True,7500,0.574
94,3,4,0.507,ewc,1700438599.719576,replay,True,7500,0.541
95,4,0,0.025,ewc,1700438599.719576,replay,True,7500,0.388
96,4,1,0.025,ewc,1700438599.719576,replay,True,7500,0.4085
97,4,2,0.025,ewc,1700438599.719576,replay,True,7500,0.421
98,4,3,0.025,ewc,1700438599.719576,replay,True,7500,0.4295
99,4,4,0.5425,ewc,1700438599.719576,replay,True,7500,0.549
100,0,0,0.542,ewc,1700438599.833477,replay,True,10000,0.542
101,0,1,0.6005,ewc,1700438599.833477,replay,True,10000,0.541
102,0,2,0.5705,ewc,1700438599.833477,replay,True,10000,0.5305
103,0,3,0.542,ewc,1700438599.833477,replay,True,10000,0.502
104,0,4,0.5285,ewc,1700438599.833477,replay,True,10000,0.5005
105,1,0,0.025,ewc,1700438599.833477,replay,True,10000,0.473
106,1,1,0.615,ewc,1700438599.833477,replay,True,10000,0.615
107,1,2,0.5995,ewc,1700438599.833477,replay,True,10000,0.6135
108,1,3,0.5605,ewc,1700438599.833477,replay,True,10000,0.583
109,1,4,0.5585,ewc,1700438599.833477,replay,True,10000,0.579
110,2,0,0.025,ewc,1700438599.833477,replay,True,10000,0.447
111,2,1,0.025,ewc,1700438599.833477,replay,True,10000,0.461
112,2,2,0.586,ewc,1700438599.833477,replay,True,10000,0.5905
113,2,3,0.554,ewc,1700438599.833477,replay,True,10000,0.5685
114,2,4,0.5135,ewc,1700438599.833477,replay,True,10000,0.5455
115,3,0,0.025,ewc,1700438599.833477,replay,True,10000,0.4105
116,3,1,0.025,ewc,1700438599.833477,replay,True,10000,0.4505
117,3,2,0.025,ewc,1700438599.833477,replay,True,10000,0.4675
118,3,3,0.585,ewc,1700438599.833477,replay,True,10000,0.5915
119,3,4,0.5075,ewc,1700438599.833477,replay,True,10000,0.5415
120,4,0,0.025,ewc,1700438599.833477,replay,True,10000,0.379
121,4,1,0.025,ewc,1700438599.833477,replay,True,10000,0.415
122,4,2,0.025,ewc,1700438599.833477,replay,True,10000,0.4445
123,4,3,0.025,ewc,1700438599.833477,replay,True,10000,0.4335
124,4,4,0.533,ewc,1700438599.833477,replay,True,10000,0.537
125,0,0,0.542,ewc,1700438600.1421597,replay,True,20000,0.542
126,0,1,0.6265,ewc,1700438600.1421597,replay,True,20000,0.57
127,0,2,0.5365,ewc,1700438600.1421597,replay,True,20000,0.5315
128,0,3,0.5605,ewc,1700438600.1421597,replay,True,20000,0.5205
129,0,4,0.5795,ewc,1700438600.1421597,replay,True,20000,0.5265
130,1,0,0.025,ewc,1700438600.1421597,replay,True,20000,0.4775
131,1,1,0.6275,ewc,1700438600.1421597,replay,True,20000,0.627
132,1,2,0.526,ewc,1700438600.1421597,replay,True,20000,0.595
133,1,3,0.5635,ewc,1700438600.1421597,replay,True,20000,0.6005
134,1,4,0.5855,ewc,1700438600.1421597,replay,True,20000,0.6065
135,2,0,0.025,ewc,1700438600.1421597,replay,True,20000,0.36
136,2,1,0.025,ewc,1700438600.1421597,replay,True,20000,0.4025
137,2,2,0.513,ewc,1700438600.1421597,replay,True,20000,0.5135
138,2,3,0.539,ewc,1700438600.1421597,replay,True,20000,0.5015
139,2,4,0.5345,ewc,1700438600.1421597,replay,True,20000,0.49
140,3,0,0.025,ewc,1700438600.1421597,replay,True,20000,0.373
141,3,1,0.025,ewc,1700438600.1421597,replay,True,20000,0.416
142,3,2,0.025,ewc,1700438600.1421597,replay,True,20000,0.433
143,3,3,0.5445,ewc,1700438600.1421597,replay,True,20000,0.5445
144,3,4,0.544,ewc,1700438600.1421597,replay,True,20000,0.5305
145,4,0,0.025,ewc,1700438600.1421597,replay,True,20000,0.3925
146,4,1,0.025,ewc,1700438600.1421597,replay,True,20000,0.426
147,4,2,0.025,ewc,1700438600.1421597,replay,True,20000,0.4365
148,4,3,0.025,ewc,1700438600.1421597,replay,True,20000,0.445
149,4,4,0.5295,ewc,1700438600.1421597,replay,True,20000,0.531
150,0,0,0.542,ewc,1700441621.8540628,replay,True,30000,0.542
151,0,1,0.6265,ewc,1700441621.8540628,replay,True,30000,0.57
152,0,2,0.6205,ewc,1700441621.8540628,replay,True,30000,0.567
153,0,3,0.6005,ewc,1700441621.8540628,replay,True,30000,0.5455
154,0,4,0.5935,ewc,1700441621.8540628,replay,True,30000,0.5355
155,1,0,0.025,ewc,1700441621.8540628,replay,True,30000,0.4775
156,1,1,0.6275,ewc,1700441621.8540628,replay,True,30000,0.627
157,1,2,0.617,ewc,1700441621.8540628,replay,True,30000,0.624
158,1,3,0.608,ewc,1700441621.8540628,replay,True,30000,0.6105
159,1,4,0.6005,ewc,1700441621.8540628,replay,True,30000,0.6095
160,2,0,0.025,ewc,1700441621.8540628,replay,True,30000,0.4405
161,2,1,0.025,ewc,1700441621.8540628,replay,True,30000,0.482
162,2,2,0.569,ewc,1700441621.8540628,replay,True,30000,0.5725
163,2,3,0.5665,ewc,1700441621.8540628,replay,True,30000,0.5785
164,2,4,0.534,ewc,1700441621.8540628,replay,True,30000,0.558
165,3,0,0.025,ewc,1700441621.8540628,replay,True,30000,0.4105
166,3,1,0.025,ewc,1700441621.8540628,replay,True,30000,0.458
167,3,2,0.025,ewc,1700441621.8540628,replay,True,30000,0.473
168,3,3,0.569,ewc,1700441621.8540628,replay,True,30000,0.5745
