index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_temperature,lwf_alpha,dense_size,ridge_result
69,6,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.659
70,6,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.69
71,6,5,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.707
72,6,6,0.848,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.841
73,6,7,0.823,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.826
74,6,8,0.786,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.801
75,6,9,0.781,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.803
76,6,10,0.757,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.803
77,7,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.537
78,7,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.543
79,7,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.599
80,7,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.604
81,7,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.605
82,7,5,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.644
83,7,6,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.653
84,7,7,0.793,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.784
85,7,8,0.773,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.776
86,7,9,0.755,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.763
87,7,10,0.728,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.744
88,8,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.551
89,8,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.602
90,8,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.642
91,8,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.689
92,8,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.693
93,8,5,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.71
94,8,6,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.717
95,8,7,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.728
96,8,8,0.835,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.829
97,8,9,0.825,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.816
98,8,10,0.81,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.801
99,9,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.554
100,9,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.645
101,9,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.642
102,9,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.682
103,9,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.696
104,9,5,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.717
105,9,6,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.71
106,9,7,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.72
107,9,8,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.722
108,9,9,0.819,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.812
109,9,10,0.799,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.811
110,10,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.519
111,10,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.551
112,10,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.608
113,10,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6
114,10,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.616
115,10,5,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.656
116,10,6,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.652
117,10,7,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.67
118,10,8,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.674
119,10,9,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.666
120,10,10,0.791,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.796
121,0,0,0.8281,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.8221
122,0,1,0.7173,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.748
123,0,2,0.6494,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6989
124,0,3,0.5932,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6761
125,0,4,0.5559,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6719
126,0,5,0.5141,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.665
127,0,6,0.48,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6557
128,0,7,0.4383,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6475
129,0,8,0.4276,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6385
130,0,9,0.4026,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6374
131,0,10,0.366,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.6344
132,1,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.656
133,1,1,0.856,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.848
134,1,2,0.754,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.792
135,1,3,0.725,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.787
136,1,4,0.711,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.772
137,1,5,0.624,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.777
138,1,6,0.604,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.756
139,1,7,0.597,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.762
140,1,8,0.545,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.749
141,1,9,0.509,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.746
142,1,10,0.489,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.738
143,2,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.442
144,2,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.537
145,2,2,0.809,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.824
146,2,3,0.722,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.743
147,2,4,0.684,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.722
148,2,5,0.64,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.679
149,2,6,0.588,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.683
150,2,7,0.552,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.674
151,2,8,0.521,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.664
152,2,9,0.488,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.649
153,2,10,0.452,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.655
154,3,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.572
155,3,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.614
156,3,2,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.648
157,3,3,0.826,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.824
158,3,4,0.775,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.814
159,3,5,0.721,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.782
160,3,6,0.674,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.763
161,3,7,0.642,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.754
162,3,8,0.611,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.749
163,3,9,0.587,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.758
164,3,10,0.537,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.745
165,4,0,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.585
166,4,1,0.1,si_model_lwf,1695833128.6339426,lwf,True,2,0.05,128,0.684
