index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_alpha,lwf_temperature,dense_size,ridge_result
60,5,5,0.822,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.818
61,5,6,0.801,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.812
62,5,7,0.78,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.787
63,5,8,0.751,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.801
64,5,9,0.729,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.795
65,5,10,0.73,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.792
66,6,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.629
67,6,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.673
68,6,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.711
69,6,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.723
70,6,4,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.737
71,6,5,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.755
72,6,6,0.884,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.877
73,6,7,0.841,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.847
74,6,8,0.826,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.842
75,6,9,0.812,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.832
76,6,10,0.772,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.816
77,7,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.599
78,7,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.638
79,7,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.642
80,7,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.646
81,7,4,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.649
82,7,5,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.646
83,7,6,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.664
84,7,7,0.776,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.774
85,7,8,0.76,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.776
86,7,9,0.75,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.767
87,7,10,0.736,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.771
88,8,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.653
89,8,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.693
90,8,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.706
91,8,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.731
92,8,4,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.738
93,8,5,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.761
94,8,6,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.744
95,8,7,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.769
96,8,8,0.853,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.847
97,8,9,0.824,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.826
98,8,10,0.791,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.828
99,9,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.625
100,9,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.679
101,9,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.688
102,9,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.709
103,9,4,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.699
104,9,5,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.708
105,9,6,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.722
106,9,7,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.734
107,9,8,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.738
108,9,9,0.811,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.813
109,9,10,0.792,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.796
110,10,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.592
