index,task,phase,cl_result,run,tstamp,algorithm,manager,si_lambda,si_eps,dense_size,ridge_result
68,6,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.71
69,6,3,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.724
70,6,4,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.714
71,6,5,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.73
72,6,6,0.842,si,1693682353.8882864,si,True,0.01,1e-08,512,0.835
73,6,7,0.74,si,1693682353.8882864,si,True,0.01,1e-08,512,0.798
74,6,8,0.691,si,1693682353.8882864,si,True,0.01,1e-08,512,0.783
75,6,9,0.702,si,1693682353.8882864,si,True,0.01,1e-08,512,0.764
76,6,10,0.651,si,1693682353.8882864,si,True,0.01,1e-08,512,0.771
77,7,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.635
78,7,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.633
79,7,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.637
80,7,3,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.659
81,7,4,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.646
82,7,5,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.657
83,7,6,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.669
84,7,7,0.782,si,1693682353.8882864,si,True,0.01,1e-08,512,0.791
85,7,8,0.712,si,1693682353.8882864,si,True,0.01,1e-08,512,0.753
86,7,9,0.68,si,1693682353.8882864,si,True,0.01,1e-08,512,0.733
87,7,10,0.593,si,1693682353.8882864,si,True,0.01,1e-08,512,0.728
88,8,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.66
89,8,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.722
90,8,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.724
91,8,3,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.761
92,8,4,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.743
93,8,5,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.735
94,8,6,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.746
95,8,7,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.745
96,8,8,0.836,si,1693682353.8882864,si,True,0.01,1e-08,512,0.844
97,8,9,0.764,si,1693682353.8882864,si,True,0.01,1e-08,512,0.812
98,8,10,0.718,si,1693682353.8882864,si,True,0.01,1e-08,512,0.789
99,9,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.635
100,9,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.691
101,9,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.692
102,9,3,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.687
103,9,4,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.704
104,9,5,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.701
105,9,6,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.699
106,9,7,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.725
107,9,8,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.731
108,9,9,0.799,si,1693682353.8882864,si,True,0.01,1e-08,512,0.793
109,9,10,0.741,si,1693682353.8882864,si,True,0.01,1e-08,512,0.775
110,10,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.592
111,10,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.629
112,10,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.662
113,10,3,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.649
114,10,4,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.664
115,10,5,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.655
116,10,6,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.658
117,10,7,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.666
118,10,8,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.67
119,10,9,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.682
120,10,10,0.813,si,1693682353.8882864,si,True,0.01,1e-08,512,0.797
