index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,dense_size,ridge_result
70,6,4,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.733
71,6,5,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.752
72,6,6,0.865,ewc,1693543192.0197256,ewc,True,0.1,256,0.855
73,6,7,0.735,ewc,1693543192.0197256,ewc,True,0.1,256,0.815
74,6,8,0.692,ewc,1693543192.0197256,ewc,True,0.1,256,0.796
75,6,9,0.619,ewc,1693543192.0197256,ewc,True,0.1,256,0.772
76,6,10,0.558,ewc,1693543192.0197256,ewc,True,0.1,256,0.773
77,7,0,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.583
78,7,1,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.631
79,7,2,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.628
80,7,3,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.643
81,7,4,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.632
82,7,5,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.663
83,7,6,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.669
84,7,7,0.794,ewc,1693543192.0197256,ewc,True,0.1,256,0.795
85,7,8,0.711,ewc,1693543192.0197256,ewc,True,0.1,256,0.77
86,7,9,0.676,ewc,1693543192.0197256,ewc,True,0.1,256,0.754
87,7,10,0.633,ewc,1693543192.0197256,ewc,True,0.1,256,0.736
88,8,0,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.644
89,8,1,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.689
90,8,2,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.696
91,8,3,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.736
92,8,4,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.723
93,8,5,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.747
94,8,6,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.752
95,8,7,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.763
96,8,8,0.83,ewc,1693543192.0197256,ewc,True,0.1,256,0.828
97,8,9,0.779,ewc,1693543192.0197256,ewc,True,0.1,256,0.805
98,8,10,0.706,ewc,1693543192.0197256,ewc,True,0.1,256,0.802
99,9,0,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.621
100,9,1,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.67
101,9,2,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.673
102,9,3,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.694
103,9,4,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.689
104,9,5,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.723
105,9,6,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.704
106,9,7,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.71
107,9,8,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.725
108,9,9,0.816,ewc,1693543192.0197256,ewc,True,0.1,256,0.809
109,9,10,0.724,ewc,1693543192.0197256,ewc,True,0.1,256,0.765
110,10,0,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.579
111,10,1,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.611
112,10,2,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.625
113,10,3,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.636
114,10,4,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.655
115,10,5,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.686
116,10,6,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.678
117,10,7,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.69
118,10,8,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.649
119,10,9,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.683
120,10,10,0.826,ewc,1693543192.0197256,ewc,True,0.1,256,0.822
121,0,0,0.836,ewc,1693543192.020504,ewc,True,0.1,512,0.8362
122,0,1,0.7565,ewc,1693543192.020504,ewc,True,0.1,512,0.7888
123,0,2,0.6683,ewc,1693543192.020504,ewc,True,0.1,512,0.7483
124,0,3,0.6081,ewc,1693543192.020504,ewc,True,0.1,512,0.7297
125,0,4,0.5872,ewc,1693543192.020504,ewc,True,0.1,512,0.7252
126,0,5,0.5953,ewc,1693543192.020504,ewc,True,0.1,512,0.7261
127,0,6,0.547,ewc,1693543192.020504,ewc,True,0.1,512,0.7125
128,0,7,0.5148,ewc,1693543192.020504,ewc,True,0.1,512,0.7111
129,0,8,0.488,ewc,1693543192.020504,ewc,True,0.1,512,0.7072
130,0,9,0.4575,ewc,1693543192.020504,ewc,True,0.1,512,0.6974
131,0,10,0.4513,ewc,1693543192.020504,ewc,True,0.1,512,0.6928
132,1,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.675
133,1,1,0.842,ewc,1693543192.020504,ewc,True,0.1,512,0.846
134,1,2,0.766,ewc,1693543192.020504,ewc,True,0.1,512,0.813
135,1,3,0.706,ewc,1693543192.020504,ewc,True,0.1,512,0.784
136,1,4,0.724,ewc,1693543192.020504,ewc,True,0.1,512,0.786
137,1,5,0.723,ewc,1693543192.020504,ewc,True,0.1,512,0.803
138,1,6,0.655,ewc,1693543192.020504,ewc,True,0.1,512,0.775
139,1,7,0.594,ewc,1693543192.020504,ewc,True,0.1,512,0.791
140,1,8,0.573,ewc,1693543192.020504,ewc,True,0.1,512,0.763
141,1,9,0.554,ewc,1693543192.020504,ewc,True,0.1,512,0.777
142,1,10,0.547,ewc,1693543192.020504,ewc,True,0.1,512,0.786
143,2,0,0.1,ewc,1693543192.020504,ewc,True,0.1,512,0.56
