index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,dense_size,ridge_result
78,7,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.574
79,7,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.625
80,7,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.64
81,7,4,0.1,replay,1695845549.385891,replay,True,40000,128,0.655
82,7,5,0.1,replay,1695845549.385891,replay,True,40000,128,0.663
83,7,6,0.1,replay,1695845549.385891,replay,True,40000,128,0.668
84,7,7,0.782,replay,1695845549.385891,replay,True,40000,128,0.772
85,7,8,0.763,replay,1695845549.385891,replay,True,40000,128,0.761
86,7,9,0.761,replay,1695845549.385891,replay,True,40000,128,0.753
87,7,10,0.763,replay,1695845549.385891,replay,True,40000,128,0.755
88,8,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.591
89,8,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.708
90,8,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.735
91,8,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.789
92,8,4,0.1,replay,1695845549.385891,replay,True,40000,128,0.795
93,8,5,0.1,replay,1695845549.385891,replay,True,40000,128,0.797
94,8,6,0.1,replay,1695845549.385891,replay,True,40000,128,0.818
95,8,7,0.1,replay,1695845549.385891,replay,True,40000,128,0.827
96,8,8,0.889,replay,1695845549.385891,replay,True,40000,128,0.896
97,8,9,0.874,replay,1695845549.385891,replay,True,40000,128,0.87
98,8,10,0.876,replay,1695845549.385891,replay,True,40000,128,0.887
99,9,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.555
100,9,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.625
101,9,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.676
102,9,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.704
103,9,4,0.1,replay,1695845549.385891,replay,True,40000,128,0.717
104,9,5,0.1,replay,1695845549.385891,replay,True,40000,128,0.708
105,9,6,0.1,replay,1695845549.385891,replay,True,40000,128,0.745
106,9,7,0.1,replay,1695845549.385891,replay,True,40000,128,0.739
107,9,8,0.1,replay,1695845549.385891,replay,True,40000,128,0.74
108,9,9,0.823,replay,1695845549.385891,replay,True,40000,128,0.837
109,9,10,0.817,replay,1695845549.385891,replay,True,40000,128,0.814
110,10,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.5
111,10,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.55
112,10,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.599
113,10,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.623
114,10,4,0.1,replay,1695845549.385891,replay,True,40000,128,0.646
115,10,5,0.1,replay,1695845549.385891,replay,True,40000,128,0.631
116,10,6,0.1,replay,1695845549.385891,replay,True,40000,128,0.657
117,10,7,0.1,replay,1695845549.385891,replay,True,40000,128,0.677
118,10,8,0.1,replay,1695845549.385891,replay,True,40000,128,0.691
119,10,9,0.1,replay,1695845549.385891,replay,True,40000,128,0.693
120,10,10,0.812,replay,1695845549.385891,replay,True,40000,128,0.81
121,0,0,0.827,replay,1695845549.3966246,replay,True,40000,128,0.8249
122,0,1,0.8252,replay,1695845549.3966246,replay,True,40000,128,0.8179
123,0,2,0.8104,replay,1695845549.3966246,replay,True,40000,128,0.8108
124,0,3,0.8082,replay,1695845549.3966246,replay,True,40000,128,0.7991
125,0,4,0.8033,replay,1695845549.3966246,replay,True,40000,128,0.7937
126,0,5,0.7893,replay,1695845549.3966246,replay,True,40000,128,0.7843
127,0,6,0.7772,replay,1695845549.3966246,replay,True,40000,128,0.777
128,0,7,0.7686,replay,1695845549.3966246,replay,True,40000,128,0.7688
129,0,8,0.7691,replay,1695845549.3966246,replay,True,40000,128,0.7637
130,0,9,0.7686,replay,1695845549.3966246,replay,True,40000,128,0.76
131,0,10,0.7585,replay,1695845549.3966246,replay,True,40000,128,0.7565
132,1,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.566
133,1,1,0.826,replay,1695845549.3966246,replay,True,40000,128,0.826
134,1,2,0.799,replay,1695845549.3966246,replay,True,40000,128,0.802
135,1,3,0.796,replay,1695845549.3966246,replay,True,40000,128,0.807
136,1,4,0.806,replay,1695845549.3966246,replay,True,40000,128,0.807
137,1,5,0.821,replay,1695845549.3966246,replay,True,40000,128,0.815
138,1,6,0.808,replay,1695845549.3966246,replay,True,40000,128,0.806
139,1,7,0.798,replay,1695845549.3966246,replay,True,40000,128,0.816
140,1,8,0.817,replay,1695845549.3966246,replay,True,40000,128,0.823
141,1,9,0.823,replay,1695845549.3966246,replay,True,40000,128,0.82
142,1,10,0.816,replay,1695845549.3966246,replay,True,40000,128,0.822
143,2,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.517
144,2,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.597
145,2,2,0.782,replay,1695845549.3966246,replay,True,40000,128,0.788
146,2,3,0.773,replay,1695845549.3966246,replay,True,40000,128,0.777
147,2,4,0.761,replay,1695845549.3966246,replay,True,40000,128,0.771
148,2,5,0.77,replay,1695845549.3966246,replay,True,40000,128,0.774
149,2,6,0.774,replay,1695845549.3966246,replay,True,40000,128,0.759
150,2,7,0.781,replay,1695845549.3966246,replay,True,40000,128,0.773
151,2,8,0.779,replay,1695845549.3966246,replay,True,40000,128,0.783
152,2,9,0.778,replay,1695845549.3966246,replay,True,40000,128,0.775
153,2,10,0.79,replay,1695845549.3966246,replay,True,40000,128,0.781
154,3,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.547
155,3,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.605
156,3,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.653
157,3,3,0.812,replay,1695845549.3966246,replay,True,40000,128,0.808
158,3,4,0.798,replay,1695845549.3966246,replay,True,40000,128,0.807
159,3,5,0.787,replay,1695845549.3966246,replay,True,40000,128,0.802
160,3,6,0.791,replay,1695845549.3966246,replay,True,40000,128,0.813
161,3,7,0.815,replay,1695845549.3966246,replay,True,40000,128,0.813
162,3,8,0.798,replay,1695845549.3966246,replay,True,40000,128,0.796
163,3,9,0.811,replay,1695845549.3966246,replay,True,40000,128,0.809
164,3,10,0.816,replay,1695845549.3966246,replay,True,40000,128,0.816
165,4,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.51
166,4,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.578
167,4,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.646
168,4,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.652
169,4,4,0.807,replay,1695845549.3966246,replay,True,40000,128,0.801
170,4,5,0.769,replay,1695845549.3966246,replay,True,40000,128,0.768
171,4,6,0.771,replay,1695845549.3966246,replay,True,40000,128,0.775
172,4,7,0.788,replay,1695845549.3966246,replay,True,40000,128,0.778
173,4,8,0.776,replay,1695845549.3966246,replay,True,40000,128,0.772
174,4,9,0.782,replay,1695845549.3966246,replay,True,40000,128,0.777
175,4,10,0.769,replay,1695845549.3966246,replay,True,40000,128,0.766
176,5,0,0.1,replay,1695845549.3966246,replay,True,40000,128,0.545
177,5,1,0.1,replay,1695845549.3966246,replay,True,40000,128,0.646
178,5,2,0.1,replay,1695845549.3966246,replay,True,40000,128,0.685
179,5,3,0.1,replay,1695845549.3966246,replay,True,40000,128,0.703
