index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
73,6,7,0.833,gem,1695878805.995055,gem,True,1,15000,128,0.82
74,6,8,0.817,gem,1695878805.995055,gem,True,1,15000,128,0.832
75,6,9,0.828,gem,1695878805.995055,gem,True,1,15000,128,0.819
76,6,10,0.802,gem,1695878805.995055,gem,True,1,15000,128,0.819
77,7,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.522
78,7,1,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.557
79,7,2,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.597
80,7,3,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.614
81,7,4,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.649
82,7,5,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.64
83,7,6,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.668
84,7,7,0.771,gem,1695878805.995055,gem,True,1,15000,128,0.802
85,7,8,0.781,gem,1695878805.995055,gem,True,1,15000,128,0.788
86,7,9,0.758,gem,1695878805.995055,gem,True,1,15000,128,0.773
87,7,10,0.758,gem,1695878805.995055,gem,True,1,15000,128,0.759
88,8,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.533
89,8,1,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.61
90,8,2,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.628
91,8,3,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.687
92,8,4,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.683
93,8,5,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.707
94,8,6,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.734
95,8,7,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.75
96,8,8,0.853,gem,1695878805.995055,gem,True,1,15000,128,0.845
97,8,9,0.841,gem,1695878805.995055,gem,True,1,15000,128,0.825
98,8,10,0.819,gem,1695878805.995055,gem,True,1,15000,128,0.826
99,9,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.514
100,9,1,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.631
101,9,2,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.663
102,9,3,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.698
103,9,4,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.717
104,9,5,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.708
105,9,6,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.708
106,9,7,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.735
107,9,8,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.743
108,9,9,0.812,gem,1695878805.995055,gem,True,1,15000,128,0.798
109,9,10,0.806,gem,1695878805.995055,gem,True,1,15000,128,0.806
110,10,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.505
111,10,1,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.574
112,10,2,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.599
113,10,3,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.63
114,10,4,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.633
115,10,5,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.66
116,10,6,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.667
117,10,7,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.68
118,10,8,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.69
119,10,9,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.691
120,10,10,0.792,gem,1695878805.995055,gem,True,1,15000,128,0.797
121,0,0,0.8281,gem,1695878806.0062895,gem,True,1,20000,128,0.8237
122,0,1,0.7581,gem,1695878806.0062895,gem,True,1,20000,128,0.7573
123,0,2,0.7524,gem,1695878806.0062895,gem,True,1,20000,128,0.7424
124,0,3,0.7655,gem,1695878806.0062895,gem,True,1,20000,128,0.7569
125,0,4,0.7577,gem,1695878806.0062895,gem,True,1,20000,128,0.7499
126,0,5,0.756,gem,1695878806.0062895,gem,True,1,20000,128,0.7493
127,0,6,0.7542,gem,1695878806.0062895,gem,True,1,20000,128,0.7417
128,0,7,0.7451,gem,1695878806.0062895,gem,True,1,20000,128,0.7426
129,0,8,0.7467,gem,1695878806.0062895,gem,True,1,20000,128,0.745
130,0,9,0.7491,gem,1695878806.0062895,gem,True,1,20000,128,0.7449
131,0,10,0.7456,gem,1695878806.0062895,gem,True,1,20000,128,0.7361
132,1,0,0.1,gem,1695878806.0062895,gem,True,1,20000,128,0.607
133,1,1,0.838,gem,1695878806.0062895,gem,True,1,20000,128,0.821
134,1,2,0.814,gem,1695878806.0062895,gem,True,1,20000,128,0.784
