index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,ridge_result
87,2,2,0.479,ewc,1700437044.5649877,ewc,True,1000,0.4725
88,2,3,0.4775,ewc,1700437044.5649877,ewc,True,1000,0.48
89,2,4,0.472,ewc,1700437044.5649877,ewc,True,1000,0.4795
90,3,0,0.025,ewc,1700437044.5649877,ewc,True,1000,0.426
91,3,1,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4385
92,3,2,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4415
93,3,3,0.4455,ewc,1700437044.5649877,ewc,True,1000,0.4425
94,3,4,0.449,ewc,1700437044.5649877,ewc,True,1000,0.44
95,4,0,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4045
96,4,1,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4145
97,4,2,0.025,ewc,1700437044.5649877,ewc,True,1000,0.414
98,4,3,0.025,ewc,1700437044.5649877,ewc,True,1000,0.418
99,4,4,0.4205,ewc,1700437044.5649877,ewc,True,1000,0.4105
100,0,0,0.542,ewc,1700437055.4274337,ewc,True,10000,0.542
101,0,1,0.5865,ewc,1700437055.4274337,ewc,True,10000,0.557
102,0,2,0.5795,ewc,1700437055.4274337,ewc,True,10000,0.5645
103,0,3,0.589,ewc,1700437055.4274337,ewc,True,10000,0.557
104,0,4,0.5925,ewc,1700437055.4274337,ewc,True,10000,0.5635
105,1,0,0.025,ewc,1700437055.4274337,ewc,True,10000,0.485
106,1,1,0.488,ewc,1700437055.4274337,ewc,True,10000,0.489
107,1,2,0.485,ewc,1700437055.4274337,ewc,True,10000,0.487
108,1,3,0.486,ewc,1700437055.4274337,ewc,True,10000,0.493
109,1,4,0.489,ewc,1700437055.4274337,ewc,True,10000,0.4875
110,2,0,0.025,ewc,1700437055.4274337,ewc,True,10000,0.463
111,2,1,0.025,ewc,1700437055.4274337,ewc,True,10000,0.476
112,2,2,0.47,ewc,1700437055.4274337,ewc,True,10000,0.4695
113,2,3,0.464,ewc,1700437055.4274337,ewc,True,10000,0.4745
114,2,4,0.4695,ewc,1700437055.4274337,ewc,True,10000,0.473
115,3,0,0.025,ewc,1700437055.4274337,ewc,True,10000,0.433
116,3,1,0.025,ewc,1700437055.4274337,ewc,True,10000,0.4405
117,3,2,0.025,ewc,1700437055.4274337,ewc,True,10000,0.434
118,3,3,0.436,ewc,1700437055.4274337,ewc,True,10000,0.438
119,3,4,0.444,ewc,1700437055.4274337,ewc,True,10000,0.436
120,4,0,0.025,ewc,1700437055.4274337,ewc,True,10000,0.414
121,4,1,0.025,ewc,1700437055.4274337,ewc,True,10000,0.417
122,4,2,0.025,ewc,1700437055.4274337,ewc,True,10000,0.419
123,4,3,0.025,ewc,1700437055.4274337,ewc,True,10000,0.419
124,4,4,0.4155,ewc,1700437055.4274337,ewc,True,10000,0.416
125,0,0,0.627,ewc,1700439725.2767465,ewc,True,1,0.633
126,0,1,0.4325,ewc,1700439725.2767465,ewc,True,1,0.518
127,0,2,0.2725,ewc,1700439725.2767465,ewc,True,1,0.485
128,0,3,0.216,ewc,1700439725.2767465,ewc,True,1,0.474
129,0,4,0.179,ewc,1700439725.2767465,ewc,True,1,0.457
130,1,0,0.025,ewc,1700439725.2767465,ewc,True,1,0.4385
131,1,1,0.614,ewc,1700439725.2767465,ewc,True,1,0.614
132,1,2,0.3835,ewc,1700439725.2767465,ewc,True,1,0.504
133,1,3,0.2515,ewc,1700439725.2767465,ewc,True,1,0.4685
134,1,4,0.236,ewc,1700439725.2767465,ewc,True,1,0.4765
135,2,0,0.025,ewc,1700439725.2767465,ewc,True,1,0.3765
136,2,1,0.025,ewc,1700439725.2767465,ewc,True,1,0.398
137,2,2,0.549,ewc,1700439725.2767465,ewc,True,1,0.5545
138,2,3,0.2905,ewc,1700439725.2767465,ewc,True,1,0.426
139,2,4,0.274,ewc,1700439725.2767465,ewc,True,1,0.4195
140,3,0,0.025,ewc,1700439725.2767465,ewc,True,1,0.2835
141,3,1,0.025,ewc,1700439725.2767465,ewc,True,1,0.2815
142,3,2,0.025,ewc,1700439725.2767465,ewc,True,1,0.2905
143,3,3,0.46,ewc,1700439725.2767465,ewc,True,1,0.4555
144,3,4,0.402,ewc,1700439725.2767465,ewc,True,1,0.4235
145,4,0,0.025,ewc,1700439725.2767465,ewc,True,1,0.4
146,4,1,0.025,ewc,1700439725.2767465,ewc,True,1,0.413
147,4,2,0.025,ewc,1700439725.2767465,ewc,True,1,0.419
148,4,3,0.025,ewc,1700439725.2767465,ewc,True,1,0.4045
149,4,4,0.5805,ewc,1700439725.2767465,ewc,True,1,0.5865
150,0,0,0.542,ewc,1700439725.2837033,ewc,True,100000,0.542
151,0,1,0.5875,ewc,1700439725.2837033,ewc,True,100000,0.5565
152,0,2,0.5765,ewc,1700439725.2837033,ewc,True,100000,0.565
153,0,3,0.584,ewc,1700439725.2837033,ewc,True,100000,0.561
154,0,4,0.588,ewc,1700439725.2837033,ewc,True,100000,0.561
155,1,0,0.025,ewc,1700439725.2837033,ewc,True,100000,0.492
156,1,1,0.487,ewc,1700439725.2837033,ewc,True,100000,0.4905
157,1,2,0.481,ewc,1700439725.2837033,ewc,True,100000,0.496
158,1,3,0.486,ewc,1700439725.2837033,ewc,True,100000,0.4905
159,1,4,0.481,ewc,1700439725.2837033,ewc,True,100000,0.4925
160,2,0,0.025,ewc,1700439725.2837033,ewc,True,100000,0.462
161,2,1,0.025,ewc,1700439725.2837033,ewc,True,100000,0.475
162,2,2,0.472,ewc,1700439725.2837033,ewc,True,100000,0.468
163,2,3,0.4645,ewc,1700439725.2837033,ewc,True,100000,0.4685
164,2,4,0.469,ewc,1700439725.2837033,ewc,True,100000,0.468
165,3,0,0.025,ewc,1700439725.2837033,ewc,True,100000,0.436
166,3,1,0.025,ewc,1700439725.2837033,ewc,True,100000,0.4385
167,3,2,0.025,ewc,1700439725.2837033,ewc,True,100000,0.441
168,3,3,0.439,ewc,1700439725.2837033,ewc,True,100000,0.4415
169,3,4,0.4415,ewc,1700439725.2837033,ewc,True,100000,0.4395
170,4,0,0.025,ewc,1700439725.2837033,ewc,True,100000,0.4145
171,4,1,0.025,ewc,1700439725.2837033,ewc,True,100000,0.4165
172,4,2,0.025,ewc,1700439725.2837033,ewc,True,100000,0.418
173,4,3,0.025,ewc,1700439725.2837033,ewc,True,100000,0.4175
174,4,4,0.418,ewc,1700439725.2837033,ewc,True,100000,0.418
175,0,0,0.627,ewc,1700439772.1709251,ewc,True,10,0.633
176,0,1,0.3955,ewc,1700439772.1709251,ewc,True,10,0.522
177,0,2,0.2825,ewc,1700439772.1709251,ewc,True,10,0.475
178,0,3,0.236,ewc,1700439772.1709251,ewc,True,10,0.4735
179,0,4,0.225,ewc,1700439772.1709251,ewc,True,10,0.501
180,1,0,0.025,ewc,1700439772.1709251,ewc,True,10,0.411
181,1,1,0.5935,ewc,1700439772.1709251,ewc,True,10,0.5955
182,1,2,0.386,ewc,1700439772.1709251,ewc,True,10,0.4885
183,1,3,0.279,ewc,1700439772.1709251,ewc,True,10,0.4635
184,1,4,0.28,ewc,1700439772.1709251,ewc,True,10,0.469
185,2,0,0.025,ewc,1700439772.1709251,ewc,True,10,0.3675
186,2,1,0.025,ewc,1700439772.1709251,ewc,True,10,0.379
187,2,2,0.5295,ewc,1700439772.1709251,ewc,True,10,0.533
188,2,3,0.333,ewc,1700439772.1709251,ewc,True,10,0.43
189,2,4,0.3075,ewc,1700439772.1709251,ewc,True,10,0.4365
190,3,0,0.025,ewc,1700439772.1709251,ewc,True,10,0.3165
191,3,1,0.025,ewc,1700439772.1709251,ewc,True,10,0.3105
192,3,2,0.025,ewc,1700439772.1709251,ewc,True,10,0.3275
193,3,3,0.5005,ewc,1700439772.1709251,ewc,True,10,0.4955
194,3,4,0.433,ewc,1700439772.1709251,ewc,True,10,0.451
195,4,0,0.025,ewc,1700439772.1709251,ewc,True,10,0.3985
196,4,1,0.025,ewc,1700439772.1709251,ewc,True,10,0.401
197,4,2,0.025,ewc,1700439772.1709251,ewc,True,10,0.398
198,4,3,0.025,ewc,1700439772.1709251,ewc,True,10,0.435
199,4,4,0.548,ewc,1700439772.1709251,ewc,True,10,0.553
200,0,0,0.627,ewc,1700439956.2506645,ewc,True,100,0.633
201,0,1,0.3905,ewc,1700439956.2506645,ewc,True,100,0.5285
202,0,2,0.331,ewc,1700439956.2506645,ewc,True,100,0.5465
