acc_after_t0_t0,acc_after_t0_t1,acc_after_t1_t0,acc_after_t1_t1,mean_distance,mean_distance_null,mean_distance_range,batchsize,classes,epochs,ewc_lambda,hostname,knob_null,knob_range,l1,local_logdir,lr,nsamples_t0_eval,nsamples_t0_train,nsplits,nworkers,project,recompute_every_n_epochs,recompute_every_n_steps,seed,shuffle_classes,subspace_batchsize,subspace_epochs,use_projected_gradients,use_t0_projection,var_explained,wandb_id,wandb_name,wandb_project,wandb_url,warmup_epochs,with_bias,distances,distances_act_null,distances_act_range,distances_grad_null,distances_grad_range,name,channels_per_block,dense_size
0.7716,0.12,0.5666,0.796,8.112540245056152,5.780895709991455,5.615611553192139,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,,,0.0,logs/baseline/baseline_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,baseline,,,42,True,64,0,False,False,0.999,ks78ty6w,baseline_warmup_5_params_64_4_2_True_42_30_False_0.0,baseline,https://wandb.ai/kietzmannlab/baseline/runs/ks78ty6w,5,False,8.112540245056152,3.3321995735168457,7.322695255279541,6.669377326965332,4.365986347198486,baseline_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7396,0.3324,0.5174,0.8264,6.967105388641357,4.967128753662109,4.811975955963135,64,"[[8, 5, 9, 3, 4], [1, 6, 7, 2, 0]]",30,,klab-1,,,0.0,logs/baseline/baseline_warmup_5_params_64_4_2_True_43_30_False_0.0,0.001,512,512,2,4,baseline,,,43,True,64,0,False,False,0.999,bl41x0ro,baseline_warmup_5_params_64_4_2_True_43_30_False_0.0,baseline,https://wandb.ai/kietzmannlab/baseline/runs/bl41x0ro,5,False,6.967105388641357,2.8513638973236084,6.275268077850342,5.705686092376709,3.7844784259796143,baseline_warmup_5_params_64_4_2_True_43_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
0.8092,0.1882,0.5606,0.709,8.12752914428711,5.74362325668335,5.64673376083374,64,"[[4, 0, 9, 7, 8], [5, 2, 3, 1, 6]]",30,,klab-1,,,0.0,logs/baseline/baseline_warmup_5_params_64_4_2_True_44_30_False_0.0,0.001,512,512,2,4,baseline,,,44,True,64,0,False,False,0.999,3c1yvtg8,baseline_warmup_5_params_64_4_2_True_44_30_False_0.0,baseline,https://wandb.ai/kietzmannlab/baseline/runs/3c1yvtg8,5,False,8.127530097961426,3.1940550804138184,7.3580780029296875,6.729797840118408,4.370029449462891,baseline_warmup_5_params_64_4_2_True_44_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
